,Filtered_reads
G09-C05_S178_F_filt.fastq,30914
G09-C05_S54_F_filt.fastq,41538
G09-C07_S149_F_filt.fastq,6999
G09-C07_S26_F_filt.fastq,14984
G09-C08_S117_F_filt.fastq,15373
G09-C08_S13_F_filt.fastq,21636
G09-C08_S50_F_filt.fastq,211
G09-C09_S10_F_filt.fastq,36616
G09-D02_S200_F_filt.fastq,41948
G09-D02_S231_F_filt.fastq,658
G09-D02_S277_F_filt.fastq,32596
G09-D08_S234_F_filt.fastq,83
G09-D08_S74_F_filt.fastq,369
G09-E02_S172_F_filt.fastq,16864
G09-E02_S220_F_filt.fastq,78176
G09-G02_S269_F_filt.fastq,35569
G09-G06_S252_F_filt.fastq,17551
G10-C03_S249_F_filt.fastq,20736
G10-C03_S9_F_filt.fastq,34766
G10-C03-GL_S57_F_filt.fastq,533
G10-C04_S279_F_filt.fastq,30200
G10-C04_S90_F_filt.fastq,17926
G10-D05-GL-ONLY_S188_F_filt.fastq,42075
G10-D06_S18_F_filt.fastq,77900
G10-D06-GL-ONLY_S186_F_filt.fastq,1902
G10-D06-GL-ONLY_S236_F_filt.fastq,5726
G10-D08_S127_F_filt.fastq,33143
G10-D10_S77_F_filt.fastq,159036
G10-E02_S183_F_filt.fastq,21450
G10-E02_S273_F_filt.fastq,33353
G10-E03_S193_F_filt.fastq,37486
G10-E04_S145_F_filt.fastq,11428
G10-E05_S124_F_filt.fastq,25617
G10-E06_S100_F_filt.fastq,58576
G10-E06_S68_F_filt.fastq,62922
G10-E08_S29_F_filt.fastq,18274
G10-E09-GL-ONLY_S69_F_filt.fastq,73915
G10-E10_S5_F_filt.fastq,8303
G10-F01_S101_F_filt.fastq,30707
G10-F02_S152_F_filt.fastq,47542
G10-F03_S201_F_filt.fastq,36159
G10-F04_S267_F_filt.fastq,38979
G10-F04-GL_S259_F_filt.fastq,121161
G10-F05GL_S138_F_filt.fastq,61543
G10-F06_S4_F_filt.fastq,47465
G10-F07_S104_F_filt.fastq,52173
G10-F08_S25_F_filt.fastq,12265
G10-F09_S114_F_filt.fastq,67069
G10-F09_S125_F_filt.fastq,34491
G10-F10_S151_F_filt.fastq,47160
G10-G01_S115_F_filt.fastq,59484
G10-G03_S139_F_filt.fastq,72024
G10-G03_S81_F_filt.fastq,36034
G10-G03_S91_F_filt.fastq,56149
G10-G03-GL_S129_F_filt.fastq,31447
G10-G03GL_S187_F_filt.fastq,60455
G10-G03GL_S20_F_filt.fastq,77990
G10-G04-GL-ONLY_S260_F_filt.fastq,116575
G10-G05_S223_F_filt.fastq,54131
G10-G05_S283_F_filt.fastq,32482
G10-G07_S44_F_filt.fastq,51134
G10-G08-GL-ONLY_S284_F_filt.fastq,12846
G10-G09-GL_S282_F_filt.fastq,44971
G10-G10_S53_F_filt.fastq,40967
G10-H01_S73_F_filt.fastq,5641
G10-H01_S78_F_filt.fastq,39773
G10-H02_S285_F_filt.fastq,32806
G10-H02_S56_F_filt.fastq,38417
G10-H03_S225_F_filt.fastq,19000
G10-H04_S121_F_filt.fastq,44753
G10-H05_S32_F_filt.fastq,34465
G10-H05GL_S211_F_filt.fastq,96849
G10-H06_S148_F_filt.fastq,43385
G10-H07-GL-ONLY_S21_F_filt.fastq,77145
G10-I06_S219_F_filt.fastq,31835
G10-I06_S49_F_filt.fastq,26518
G10-I06-GL_S1_F_filt.fastq,63
G10-J06_S52_F_filt.fastq,40397
G10D08_S175_F_filt.fastq,34423
G10D08-GL_S42_F_filt.fastq,46316
G10D09_S195_F_filt.fastq,41023
G10D09_S66_F_filt.fastq,34
G10E01_S176_F_filt.fastq,45431
G10E01-GL_S248_F_filt.fastq,75970
G10E07_S247_F_filt.fastq,75228
G10F05_S213_F_filt.fastq,63761
G10F05_S8_F_filt.fastq,44550
G10F08-GL_S272_F_filt.fastq,2148
G10G05GL_S67_F_filt.fastq,115319
G10H10-GL-ONLY_S43_F_filt.fastq,61593
G10I05_S244_F_filt.fastq,2646
G10I05_S253_F_filt.fastq,530
G10I05-GL_S243_F_filt.fastq,958
G10J03_S199_F_filt.fastq,693
G10J03GL_S210_F_filt.fastq,82373
G11-A02_S128_F_filt.fastq,38892
G11-A02-GL_S235_F_filt.fastq,97610
G11-A07-GL-ONLY_S153_F_filt.fastq,337
NO-ID_S251_F_filt.fastq,19604
Undetermined_S0_F_filt.fastq,478332
