"","Diptera","Ephemeroptera","Cyclopoida","Coleoptera","undetermined_arthropoda","undetermined_cnidaria","Lepidoptera","Naviculales","Cichliformes","Venerida","Tubificida","undetermined_ascomycota","Crassiclitellata","Hymenoptera","Amphipoda","Sporidiobolales","undetermined_playhelminthes","Unionida","Hypocreales","undetermined_chlorophyta","Melosirales","Pythiales","Saccharomycetales","samplesite"
"G08-B08_S133_F_filt.fastq",60,0,1074,0,23,36,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B08_S207_F_filt.fastq",10511,30,553,0,76,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B09_S194_F_filt.fastq",27,0,139,59,3,19,0,0,0,6,0,0,0,18,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B09_S86_F_filt.fastq",96,0,1341,0,40,111,0,23,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-C01_S230_F_filt.fastq",14277,0,15,23,2,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-C02_S156_F_filt.fastq",26,0,79,0,3033,10,0,22,0,12,0,9,8,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-C03_S226_F_filt.fastq",330,0,68,38,1265,58,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"Benthic"
"G08-C06_S135_F_filt.fastq",3827,0,11498,0,2293,78,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D01_S182_F_filt.fastq",83,13,0,0,2291,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D02_S131_F_filt.fastq",49,0,36,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D03_S102_F_filt.fastq",8172,0,0,0,5324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D03_S245_F_filt.fastq",51,0,10,0,12184,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D04_S107_F_filt.fastq",6800,7,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D05_S179_F_filt.fastq",0,16,634,0,111,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D07_S15_F_filt.fastq",910,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D07_S160_F_filt.fastq",1890,0,25,0,2132,218,0,5,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D07_S184_F_filt.fastq",15599,27,14,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D07_S85_F_filt.fastq",86,8,58,0,365,371,0,0,0,0,0,0,0,12,0,0,0,0,0,16,0,0,0,"Benthic"
"G08-D10_S39_F_filt.fastq",9643,0,377,0,450,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E01_S112_F_filt.fastq",24125,20,334,0,14625,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E01_S250_F_filt.fastq",95,0,1832,0,142,40,0,6,0,343,4,0,0,0,0,0,0,0,0,0,9,0,0,"Benthic"
"G08-E02_S164_F_filt.fastq",1329,0,87,0,544,26,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E03_S84_F_filt.fastq",11729,0,31,0,7925,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E04_S87_F_filt.fastq",256,11,1612,0,7998,282,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E05_S111_F_filt.fastq",30763,19,24,0,2642,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E05_S88_F_filt.fastq",13676,15,57,0,1077,5,0,0,0,0,104,0,0,27,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E07_S136_F_filt.fastq",24375,5,168,0,3125,8,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E07_S274_F_filt.fastq",1077,0,4780,5,1582,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,"Benthic"
"G08-E07_S51_F_filt.fastq",80,117,276,0,80,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E08_S161_F_filt.fastq",73970,0,389,0,11,0,0,0,0,41,703,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-E09_S11_F_filt.fastq",2839,0,840,0,9,5,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,"Benthic"
"G08-F07_S109_F_filt.fastq",155,13,0,0,36,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-G01_S134_F_filt.fastq",41,0,24,0,17,105,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-G01_S137_F_filt.fastq",0,0,0,0,18,129,0,0,0,311,0,0,0,10,0,0,0,0,0,13,0,0,0,"Littoral"
"G08-G03_S40_F_filt.fastq",44,8,604,0,0,0,0,144,0,0,0,0,0,0,0,0,0,554,0,0,0,0,0,"Littoral"
"G08-G03-GL_S280_F_filt.fastq",34,0,27,0,20,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-H06_S237_F_filt.fastq",0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-H06_S36_F_filt.fastq",6,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,"Littoral"
"G08-H08_S140_F_filt.fastq",0,0,0,0,5,0,0,26,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-H09_S206_F_filt.fastq",40,25,6,0,435,0,0,826,0,417,0,0,0,0,0,0,0,0,0,12,0,0,0,"Littoral"
"G08-H10_S157_F_filt.fastq",31,0,42,0,13,0,0,7,0,0,0,31,3614,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-H10_S181_F_filt.fastq",395,15,61,0,36,12,0,32,0,65,0,8,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-H10_S255_F_filt.fastq",1549,0,334,0,77,5,0,24,0,11,2937,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-I01_S221_F_filt.fastq",0,0,20,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-I01_S38_F_filt.fastq",47,0,0,0,94,52,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"Littoral"
"G08-I02_S197_F_filt.fastq",18,0,0,40,391,335,0,0,0,1604,0,0,0,14,0,0,0,158,0,16,0,0,0,"Littoral"
"G08-I02_S254_F_filt.fastq",225,0,3,0,599,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-I02_S98_F_filt.fastq",290,0,0,0,171,33,0,0,0,599,0,0,0,0,0,0,0,8,0,0,0,0,0,"Littoral"
"G08-I03_S122_F_filt.fastq",1670,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,"Littoral"
"G08-I05_S6_F_filt.fastq",8,9,0,0,16,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G08-I07_S154_F_filt.fastq",205,0,403,0,111,19,0,76,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
