,SEQ4,SEQ5,SEQ6,SEQ8,SEQ9,SEQ12,SEQ13,SEQ17,SEQ22,SEQ28,SEQ29,SEQ30,SEQ31,SEQ32,SEQ33,SEQ34,SEQ35,SEQ37,SEQ38,SEQ39,SEQ41,SEQ42,SEQ43,SEQ44,SEQ45,SEQ46,SEQ47,SEQ48,SEQ51,SEQ52,SEQ53,SEQ54,SEQ57,SEQ58,SEQ60,SEQ61,SEQ62,SEQ63,SEQ65,SEQ68,SEQ70,SEQ72,SEQ73,SEQ74,SEQ75,SEQ77,SEQ78,SEQ79,SEQ80,SEQ81,SEQ83,SEQ84,SEQ85,SEQ86,SEQ87,SEQ88,SEQ91,SEQ100,SEQ103,SEQ105,SEQ109,SEQ110,SEQ112,SEQ115,SEQ116,SEQ118,SEQ120,SEQ126,SEQ128,SEQ132,SEQ134,SEQ138,SEQ147,SEQ156,SEQ163,SEQ169,SEQ175,SEQ185,SEQ188,SEQ193,SEQ207,SEQ216,SEQ225,SEQ226,SEQ227,SEQ244,SEQ262,SEQ363,SEQ431,SEQ519,SEQ529,SEQ604,SEQ973
G02-E05_S185_F_filt.fastq,213,0,11069,199,2720,0,0,0,354,0,0,0,0,0,0,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,1914,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
G02-E06_S209_F_filt.fastq,16194,0,0,4414,772,0,1208,0,0,0,0,0,0,0,0,157,0,0,0,0,0,242,0,0,0,0,0,374,44,0,0,0,0,0,0,635,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G02-E08_S246_F_filt.fastq,1899,0,815,318,20680,82,146,58,9,0,18,397,0,0,158,639,0,0,163,0,240,35,0,10,0,96,670,0,180,0,0,0,293,0,0,353,182,0,0,0,118,0,0,0,0,0,0,0,0,0,102,0,50,0,0,0,29,747,0,0,0,0,0,117,75,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G02-F03_S165_F_filt.fastq,1286,0,19872,182,457,0,9,0,9,0,0,365,0,15,51,285,0,0,2088,0,0,71,0,1621,0,117,0,85,11,0,0,0,60,0,0,0,111,0,0,0,55,0,0,0,0,0,0,0,0,0,111,7,0,0,0,0,0,0,9,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G02-F04_S41_F_filt.fastq,0,4290,11016,0,5414,0,0,0,99,0,0,0,0,0,175,356,0,0,1360,0,0,0,310,110,0,0,0,0,0,0,0,0,357,0,0,215,0,0,0,0,441,0,0,0,0,0,0,0,0,0,109,0,246,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-A06_S270_F_filt.fastq,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,125,0,0,75,0,294,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-B06_S222_F_filt.fastq,1042,0,6,178,29,98,5,0,0,0,0,100,0,0,0,468,0,0,0,0,0,81,0,0,0,84,0,0,25,0,191,0,160,0,0,134,114,0,0,0,62,0,0,0,299,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,33,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-C01_S281_F_filt.fastq,2804,8,0,866,34,35,299,0,0,0,0,59,0,25,0,465,0,0,13,0,0,26,0,0,0,27,0,0,20,0,0,3831,80,0,0,33,49,0,0,0,54,0,2098,0,0,0,0,0,0,0,29,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-C03_S242_F_filt.fastq,40,0,0,0,35,0,2,24445,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-C05_S123_F_filt.fastq,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
G03-F07_S208_F_filt.fastq,1009,24,2,143,0,10,0,0,0,0,0,90,0,0,0,380,0,0,0,0,0,24,0,6,0,76,0,0,49,0,0,0,230,5,0,122,87,0,0,0,103,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,20,0,0,0,0,0,39,0,0,0,0,30,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-F07_S83_F_filt.fastq,512,7,22,103,8,31,0,9,0,32,0,18,0,0,0,253,0,3,0,0,0,8,0,5,0,17,0,0,0,0,0,0,114,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-G04_S16_F_filt.fastq,901,0,12,129,10,183,3,0,5,0,0,76,0,0,0,450,0,0,0,0,0,45,0,3,17,50,0,0,37,0,0,0,130,0,0,132,93,0,0,0,69,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-G04_S198_F_filt.fastq,613,0,0,99,43,140,0,0,0,0,0,107,0,0,0,537,0,0,0,0,0,34,0,11,0,53,22,0,34,0,0,0,155,0,0,153,71,0,0,0,45,0,0,0,0,0,0,14,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-G10_S150_F_filt.fastq,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03-J08_S174_F_filt.fastq,1963,0,13,267,77,0,8,0,6,0,0,738,0,0,162,601,0,0,0,0,0,155,99,0,0,315,4628,0,0,0,0,0,248,0,0,130,137,0,0,0,85,0,0,0,0,0,0,0,0,0,135,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,660,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
