,Kingdom,Phylum,Class,Order,Family,Genus,Species
SEQ1224,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,unknown_genus,Ophiocordycipitaceae_sp.
SEQ318,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,undetermined,undetermined
SEQ579,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,undetermined,undetermined
SEQ1000,Fungi,Ascomycota,Sordariomycetes,undetermined,undetermined,undetermined,undetermined
SEQ359,Fungi,Ascomycota,Sordariomycetes,undetermined,undetermined,undetermined,undetermined
SEQ434,Fungi,Ascomycota,Sordariomycetes,undetermined,undetermined,undetermined,undetermined
SEQ825,Fungi,Ascomycota,Sordariomycetes,undetermined,undetermined,undetermined,undetermined
SEQ883,Fungi,Ascomycota,Sordariomycetes,undetermined,undetermined,undetermined,undetermined
SEQ901,Fungi,Ascomycota,Sordariomycetes,undetermined,undetermined,undetermined,undetermined
SEQ941,Fungi,Ascomycota,Sordariomycetes,undetermined,undetermined,undetermined,undetermined
SEQ54,Fungi,Ascomycota,Sordariomycetes,undetermined,undetermined,undetermined,undetermined
SEQ572,Fungi,Ascomycota,Sordariomycetes,undetermined,undetermined,undetermined,undetermined
SEQ688,Fungi,Ascomycota,Sordariomycetes,unknown_subfamily,undetermined,undetermined,undetermined
SEQ350,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ832,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ740,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1127,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1243,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ216,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ292,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ896,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ612,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ765,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ128,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ475,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1025,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ74,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ413,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1054,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ702,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ65,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ744,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ677,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ692,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ700,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ795,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ966,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1073,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1037,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1061,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ680,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ526,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ862,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ73,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ557,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ328,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ919,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1060,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1206,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1035,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1048,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ660,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ925,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ345,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ285,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ681,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ746,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1226,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ394,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ431,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ834,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1241,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ407,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ682,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ748,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ820,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ932,Fungi,Ascomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ773,Fungi,Ascomycota,unknown_superorder,undetermined,undetermined,undetermined,undetermined
SEQ288,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,undetermined,undetermined
SEQ916,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Brachybasidiaceae,Meira,Meira_sp.
SEQ1074,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Brachybasidiaceae,Meira,Meira_sp.
SEQ587,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_japonica
SEQ595,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_japonica
SEQ88,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_mucilaginosa
SEQ505,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,undetermined,undetermined
SEQ840,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Macalpinomyces,Macalpinomyces_bursus
SEQ823,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,undetermined,undetermined
SEQ1065,Fungi,Basidiomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ195,Fungi,Basidiomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ678,Fungi,Basidiomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ859,Fungi,Basidiomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ500,Fungi,Basidiomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1126,Fungi,Basidiomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ994,Fungi,Basidiomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ950,Fungi,Basidiomycota,undetermined,undetermined,undetermined,undetermined,undetermined
