,Raw_reads
G10-E05_S124_F_filt.fastq,18
G10-E06_S100_F_filt.fastq,35
G10-E06_S68_F_filt.fastq,76438
G10-E08_S29_F_filt.fastq,38419
G10-E09-GL-ONLY_S69_F_filt.fastq,54048
G10-E10_S5_F_filt.fastq,53207
G10-F01_S101_F_filt.fastq,40575
G10-F02_S152_F_filt.fastq,23820
G10-F03_S201_F_filt.fastq,55040
G10-F04_S267_F_filt.fastq,5781
G10-F04-GL_S259_F_filt.fastq,214642
G10-F05GL_S138_F_filt.fastq,63695
G10-F06_S4_F_filt.fastq,31
G10-F07_S104_F_filt.fastq,50677
G10-F08_S25_F_filt.fastq,25401
G10-F09_S114_F_filt.fastq,66984
G10-F09_S125_F_filt.fastq,34081
G10-F10_S151_F_filt.fastq,18282
G10-G01_S115_F_filt.fastq,71782
G10-G03_S139_F_filt.fastq,72329
G10-G03_S81_F_filt.fastq,9976
G10-G03_S91_F_filt.fastq,59422
G10-G03-GL_S129_F_filt.fastq,53668
G10-G03GL_S187_F_filt.fastq,73129
G10-G03GL_S20_F_filt.fastq,92304
G10-G04-GL-ONLY_S260_F_filt.fastq,190838
G10-G05_S223_F_filt.fastq,25941
G10-G05_S283_F_filt.fastq,64142
G10-G07_S44_F_filt.fastq,65167
G10-G08-GL-ONLY_S284_F_filt.fastq,59946
G10-G09-GL_S282_F_filt.fastq,63481
G10-G10_S53_F_filt.fastq,10405
G10-H01_S73_F_filt.fastq,41841
G10-H01_S78_F_filt.fastq,50276
G10-H02_S285_F_filt.fastq,68104
G10-H02_S56_F_filt.fastq,102144
G10-H03_S225_F_filt.fastq,44455
G10-H04_S121_F_filt.fastq,32625
G10-H05_S32_F_filt.fastq,25185
G10-H05GL_S211_F_filt.fastq,76927
G10-H06_S148_F_filt.fastq,20
G10-H07-GL-ONLY_S21_F_filt.fastq,77352
G10-I06_S219_F_filt.fastq,58271
G10-I06_S49_F_filt.fastq,81935
G10-I06-GL_S1_F_filt.fastq,1613
G10-J06_S52_F_filt.fastq,13
G10D08_S175_F_filt.fastq,38145
G10D08-GL_S42_F_filt.fastq,51708
G10D09_S195_F_filt.fastq,32245
G10D09_S66_F_filt.fastq,56981
G10E01_S176_F_filt.fastq,34909
G10E01-GL_S248_F_filt.fastq,41708
G10E07_S247_F_filt.fastq,42957
G10F05_S213_F_filt.fastq,88342
G10F05_S8_F_filt.fastq,43794
G10F08-GL_S272_F_filt.fastq,25574
G10G05GL_S67_F_filt.fastq,95079
G10H10-GL-ONLY_S43_F_filt.fastq,68057
G10I05_S244_F_filt.fastq,11
G10I05_S253_F_filt.fastq,51321
G10I05-GL_S243_F_filt.fastq,54434
G10J03_S199_F_filt.fastq,25544
G10J03GL_S210_F_filt.fastq,88996
G11-A02_S128_F_filt.fastq,42468
G11-A02-GL_S235_F_filt.fastq,81538
G11-A07-GL-ONLY_S153_F_filt.fastq,15288
NO-ID_S251_F_filt.fastq,48549
Undetermined_S0_F_filt.fastq,1084005
