SEQ,Kingdom,Phylum,Class,Order,Family,Genus,Species,SEQ
SEQ300,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ300
SEQ101,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ101
SEQ104,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ104
SEQ105,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ105
SEQ108,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ108
SEQ112,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ112
SEQ125,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ125
SEQ129,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ129
SEQ13,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ13
SEQ130,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ130
SEQ131,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ131
SEQ135,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ135
SEQ138,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ138
SEQ139,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ139
SEQ142,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ142
SEQ15,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ15
SEQ153,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ153
SEQ162,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ162
SEQ164,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ164
SEQ165,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ165
SEQ166,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ166
SEQ168,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ168
SEQ169,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ169
SEQ173,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ173
SEQ188,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ188
SEQ191,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ191
SEQ193,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ193
SEQ21,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ21
SEQ22,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ22
SEQ227,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ227
SEQ230,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ230
SEQ241,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ241
SEQ260,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ260
SEQ31,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ31
SEQ354,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ354
SEQ38,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ38
SEQ405,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ405
SEQ42,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ42
SEQ43,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ43
SEQ47,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ47
SEQ58,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ58
